image_path,caption
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/199134.jpg,a couple of men standing in front of a fan on a stage.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/41442.jpg,Two people on motorcycles riding them on dirt.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/31738.jpg,a baseball player throwing a pitch from the mound 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/427344.jpg,The orange cat is sitting on top of the small television.  
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/375709.jpg,A person by a table with some food.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/93756.jpg,A figure with an umbrella stands in front of a bridge. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/482801.jpg,a person with pink hair holding an umbrella in a crowd
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/145290.jpg,A lone straw umbrella sitting in the middle of a dirt field.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/580862.jpg,A surfer crouching low on his board races the surf.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/224029.jpg,The person is getting ready to hit the ball.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/46545.jpg,A green field filled with grazing black and white cattle.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/175565.jpg,A cocker spaniel sitting next to a woman holding a baby. 
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/86715.jpg,Two young men leaping into the air to catch a white frisbee.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/190075.jpg,a person standing on a surfboard while riding a wave.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/92522.jpg,A brown bird is perched on a branch of a tree.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/424300.jpg,A flock of birds flying through a forest.
/media/xiaodou/My Passport/Qwen/QwenVL/coco_2014_caption/26900.jpg,A bus parked on the side of the road with a man getting stuff out of the back.
